Time	Id_2 (1)
0.10151	2.1057e-07
0.87645	3.2139e-07
1.1505	5.9038e-07
1.4245	8.4332e-07
1.6985	1.0635e-06
2.1395	1.1289e-06
2.4135	1.1858e-06
2.6875	1.2119e-06
2.9615	1.2456e-06
3.2355	1.2651e-06
3.5095	1.2911e-06
3.7835	1.3113e-06
4.0574	1.3296e-06
4.3315	1.3446e-06
4.6055	1.3563e-06
4.8795	1.367e-06
5.1535	1.3679e-06
5.4275	1.3739e-06
5.7015	1.3797e-06
5.9755	1.3855e-06
6.2495	1.3845e-06
6.5235	1.3952e-06
6.7975	1.405e-06
7.0715	1.4086e-06
7.3455	1.3973e-06
7.6195	1.4108e-06
7.8935	1.4134e-06
8.1675	1.4262e-06
8.4415	1.4413e-06
8.7155	1.4294e-06
8.9895	1.4306e-06
9.2635	1.4303e-06
9.5375	1.425e-06
9.8115	1.4266e-06
10.086	1.4297e-06
10.36	1.4422e-06
10.634	1.4536e-06
10.908	1.46e-06
11.182	1.4572e-06
11.456	1.4603e-06
11.731	1.4661e-06
12.005	1.4654e-06
12.279	1.4646e-06
12.553	1.4678e-06
12.827	1.4826e-06
13.101	1.4921e-06
13.375	1.4958e-06
13.649	1.5077e-06
13.923	1.5246e-06
14.197	1.5398e-06
14.471	1.5398e-06
14.745	1.5372e-06
15.019	1.5475e-06
15.293	1.5525e-06
15.567	1.5512e-06
15.841	1.5526e-06
16.449	1.5558e-06
16.723	1.5427e-06
16.997	1.5326e-06
17.271	1.5264e-06
17.545	1.5311e-06
17.819	1.5123e-06
18.093	1.5122e-06
18.367	1.5151e-06
18.641	1.5033e-06
18.915	1.5077e-06
19.189	1.4966e-06
19.463	1.5208e-06
19.737	1.5364e-06
20.011	1.5591e-06
20.285	1.5601e-06
20.559	1.5176e-06
20.833	1.5246e-06
21.107	1.5322e-06
21.381	1.5355e-06
21.655	1.553e-06
21.929	1.5403e-06
22.203	1.5383e-06
22.477	1.5341e-06
22.751	1.5294e-06
23.025	1.5273e-06
23.299	1.5282e-06
23.573	1.5313e-06
23.847	1.5389e-06
24.121	1.5357e-06
24.395	1.5368e-06
24.669	1.5294e-06
24.943	1.5391e-06
25.217	1.5203e-06
25.491	1.5256e-06
25.765	1.5297e-06
26.039	1.5244e-06
26.313	1.5134e-06
26.587	1.5207e-06
26.861	1.5251e-06
27.135	1.5416e-06
27.409	1.5437e-06
27.683	1.5552e-06
27.957	1.5336e-06
28.231	1.5376e-06
28.505	1.539e-06
28.779	1.5317e-06
29.053	1.5275e-06
29.327	1.5496e-06
29.601	1.5482e-06
29.875	1.5454e-06
30.149	1.5368e-06
30.423	1.5319e-06
30.697	1.5307e-06
30.971	1.5422e-06
31.245	1.5595e-06
