4.0681e-08,25120578.778135
7.6992e-08,15538566.7226055
1.3395e-07,9335324.86930545
2.1095e-07,5337318.53116994
3.1172e-07,3475118.15401724
4.4039e-07,2254689.75468975
6.0566e-07,1566710.53456163
8.2234e-07,1125315.0882247
1.1253e-06,843170.320404722
1.5525e-06,616827.041697508
2.157e-06,430440.771349862
2.9685e-06,289855.072463768
3.9828e-06,193005.48135567
5.1637e-06,128528.096241839
6.474e-06,91578.4460969266
7.7368e-06,69828.5012010502
8.9272e-06,68309.7437018416
1.0047e-05,58962.2641509434
1.0803e-05,41480.0066368011
1.1365e-05,35734.7055460263
1.1881e-05,31867.4314850223
5.6464e-08,31961135.2595244
9.8175e-08,24863252.1133764
1.5778e-07,11431184.2706904
2.4073e-07,6348400.20314881
3.4804e-07,3921568.62745098
4.8668e-07,2586652.87118469
6.6564e-07,1783675.79908676
9.0582e-07,1327104.78819408
1.2444e-06,1060220.52586938
1.7046e-06,790388.871324692
2.3754e-06,608420.54027744
3.3257e-06,452406.804198336
4.458e-06,314742.540601788
5.7963e-06,199936.020473449
7.1467e-06,137984.324980682
8.5022e-06,97359.6074460627
9.6964e-06,70370.9958903338
1.0771e-05,56053.8116591928
1.1635e-05,46330.6152705708
1.2477e-05,39688.8394983331
1.2982e-05,37374.7944386306
5.9618e-08,29663028.0018984
9.8621e-08,19187965.3081587
1.6068e-07,11552680.2218115
2.4371e-07,6720430.10752688
3.5476e-07,4123371.268349
4.9477e-07,2887502.88750289
6.815e-07,2222617.3541963
9.3635e-07,1769911.50442478
1.2897e-06,1616031.02779573
1.7898e-06,1350621.28579146
2.496e-06,1254390.36628199
3.5015e-06,1467997.65120376
4.6561e-06,751427.712654042
6.0294e-06,408763.897972532
7.4368e-06,218131.053136724
8.7525e-06,152951.973080453
1.0013e-05,114521.300961979
1.1071e-05,82047.915982934
1.2101e-05,67824.1996744438
1.3009e-05,57537.3993095512
1.3432e-05,47792.0091760658
6.1618e-08,50679099.9391851
1.0172e-07,28376844.4948922
1.6219e-07,14384349.8273878
2.4494e-07,7146941.10920527
3.5378e-07,4193223.75041932
4.9675e-07,2928086.20285781
6.8239e-07,2058290.79532356
9.3506e-07,1596016.34320735
1.2818e-06,1236399.60435213
1.7706e-06,980776.775205964
2.4776e-06,768994.155644417
3.4142e-06,526648.409521803
4.5503e-06,407763.823193606
5.9248e-06,258772.383811199
7.2823e-06,177066.364473405
8.5907e-06,122832.014936373
9.7619e-06,86322.9860847347
1.0784e-05,71612.7184187912
1.1605e-05,58713.010803194
1.2398e-05,47646.2740613684
1.288e-05,39625.9312093834
