volt    param        param        lx7
         1/lx8(mp)     -i(mp)         mp
2.09000     7.030e+03    9.512e-04    3.232e-03
2.08000     6.858e+03    9.836e-04    3.275e-03
2.07000     6.692e+03    1.016e-03    3.316e-03
2.06000     6.531e+03    1.050e-03    3.358e-03
2.05000     6.376e+03    1.083e-03    3.399e-03
2.04000     6.225e+03    1.117e-03    3.439e-03
2.03000     6.079e+03    1.152e-03    3.479e-03
2.02000     5.938e+03    1.187e-03    3.518e-03
2.01000     5.802e+03    1.222e-03    3.557e-03
2.00000     5.669e+03    1.257e-03    3.595e-03
